methodology,policy,metric,mean,ci_low,ci_high,n
probability,B1_random,m_mastery,0.347974,0.339417,0.356347,1000
probability,B1_random,m_transfer,0.750875,0.734872,0.766750,1000
probability,B1_random,m_retention_1d,-0.040750,-0.052375,-0.028875,1000
probability,B1_random,m_retention_3d,-0.105875,-0.117878,-0.093500,1000
probability,B1_random,m_retention_7d,-0.222250,-0.235750,-0.208250,1000
probability,B1_random,m_retention_14d,-0.375625,-0.389625,-0.361750,1000
probability,B1_random,m_hint,-0.827991,-0.839486,-0.816203,1000
probability,B1_random,m_robust,0.629712,0.594219,0.664710,427
probability,B1_random,m_efficiency,0.003480,0.003394,0.003563,1000
probability,B1_random,m_meta,0.228811,0.222807,0.234724,1000
probability,B1_random,m_engage,0.759620,0.757020,0.762250,1000
probability,B1_random,m_calib,0.181591,0.178664,0.184467,1000
probability,B2_bkt,m_mastery,0.387589,0.379218,0.395587,1000
probability,B2_bkt,m_transfer,0.769375,0.752375,0.785750,1000
probability,B2_bkt,m_retention_1d,-0.042500,-0.053750,-0.031122,1000
probability,B2_bkt,m_retention_3d,-0.109750,-0.122125,-0.097250,1000
probability,B2_bkt,m_retention_7d,-0.233625,-0.247125,-0.219875,1000
probability,B2_bkt,m_retention_14d,-0.389250,-0.403875,-0.374375,1000
probability,B2_bkt,m_hint,0.000000,0.000000,0.000000,1000
probability,B2_bkt,m_robust,nan,nan,nan,0
probability,B2_bkt,m_efficiency,0.003876,0.003792,0.003956,1000
probability,B2_bkt,m_meta,0.354421,0.346321,0.362591,1000
probability,B2_bkt,m_engage,1.000000,1.000000,1.000000,1000
probability,B2_bkt,m_calib,0.137847,0.134714,0.141012,1000
probability,B3_l2t_no_q,m_mastery,0.257555,0.249946,0.264851,1000
probability,B3_l2t_no_q,m_transfer,0.745125,0.728625,0.761375,1000
probability,B3_l2t_no_q,m_retention_1d,-0.039250,-0.051003,-0.027500,1000
probability,B3_l2t_no_q,m_retention_3d,-0.099250,-0.112000,-0.086375,1000
probability,B3_l2t_no_q,m_retention_7d,-0.219125,-0.233000,-0.205250,1000
probability,B3_l2t_no_q,m_retention_14d,-0.373125,-0.387375,-0.358625,1000
probability,B3_l2t_no_q,m_hint,-0.190319,-0.209952,-0.171382,1000
probability,B3_l2t_no_q,m_robust,nan,nan,nan,0
probability,B3_l2t_no_q,m_efficiency,0.002576,0.002499,0.002649,1000
probability,B3_l2t_no_q,m_meta,0.309318,0.301076,0.317482,1000
probability,B3_l2t_no_q,m_engage,0.791530,0.784690,0.798020,1000
probability,B3_l2t_no_q,m_calib,0.190968,0.187582,0.194288,1000
probability,B4_full_l2t,m_mastery,0.250010,0.242597,0.257266,1000
probability,B4_full_l2t,m_transfer,0.736375,0.720125,0.752500,1000
probability,B4_full_l2t,m_retention_1d,-0.041875,-0.054250,-0.029625,1000
probability,B4_full_l2t,m_retention_3d,-0.092000,-0.105000,-0.079375,1000
probability,B4_full_l2t,m_retention_7d,-0.207000,-0.221000,-0.193000,1000
probability,B4_full_l2t,m_retention_14d,-0.365750,-0.380750,-0.351125,1000
probability,B4_full_l2t,m_hint,-0.188968,-0.208832,-0.169616,1000
probability,B4_full_l2t,m_robust,nan,nan,nan,0
probability,B4_full_l2t,m_efficiency,0.002500,0.002426,0.002573,1000
probability,B4_full_l2t,m_meta,0.310908,0.302870,0.318854,1000
probability,B4_full_l2t,m_engage,0.797780,0.790750,0.804420,1000
probability,B4_full_l2t,m_calib,0.211311,0.207934,0.214761,1000
synthetic,B1_random,m_mastery,0.342266,0.326642,0.357285,1000
synthetic,B1_random,m_transfer,0.765875,0.746125,0.784875,1000
synthetic,B1_random,m_retention_1d,-0.042250,-0.052128,-0.032250,1000
synthetic,B1_random,m_retention_3d,-0.113500,-0.125000,-0.102250,1000
synthetic,B1_random,m_retention_7d,-0.228250,-0.241500,-0.215000,1000
synthetic,B1_random,m_retention_14d,-0.386250,-0.401875,-0.370750,1000
synthetic,B1_random,m_hint,-0.819281,-0.833862,-0.804486,1000
synthetic,B1_random,m_robust,0.500255,0.455480,0.545078,342
synthetic,B1_random,m_efficiency,0.003423,0.003266,0.003573,1000
synthetic,B1_random,m_meta,0.028871,0.027334,0.030398,1000
