policy,metric,mean_over_graphs,std_over_graphs,k
B1_random,m_calib,0.173839,0.004756,30
B1_random,m_efficiency,0.003237,0.000143,30
B1_random,m_engage,0.852580,0.000000,30
B1_random,m_hint,-0.819281,0.000000,30
B1_random,m_inference_robust,0.202064,0.008781,30
B1_random,m_mastery,0.323709,0.014271,30
B1_random,m_meta,0.035333,0.004569,30
B1_random,m_retention_14d,-0.376679,0.006522,30
B1_random,m_retention_1d,-0.036654,0.004284,30
B1_random,m_retention_3d,-0.108037,0.005557,30
B1_random,m_retention_7d,-0.223096,0.005193,30
B1_random,m_robust,0.477164,0.011900,30
B1_random,m_transfer,0.752750,0.007916,30
B2_bkt,m_calib,0.135956,0.005159,30
B2_bkt,m_efficiency,0.003651,0.000089,30
B2_bkt,m_engage,1.000000,0.000000,30
B2_bkt,m_hint,0.000000,0.000000,30
B2_bkt,m_inference_robust,0.194808,0.018361,30
B2_bkt,m_mastery,0.365127,0.008947,30
B2_bkt,m_meta,0.057162,0.023758,30
B2_bkt,m_retention_14d,-0.378242,0.005172,30
B2_bkt,m_retention_1d,-0.035154,0.003790,30
B2_bkt,m_retention_3d,-0.101629,0.004939,30
B2_bkt,m_retention_7d,-0.219121,0.004897,30
B2_bkt,m_transfer,0.747329,0.005536,30
B3_l2t_no_q,m_calib,0.148451,0.005575,30
B3_l2t_no_q,m_efficiency,0.003773,0.000054,30
B3_l2t_no_q,m_engage,0.827563,0.005836,30
B3_l2t_no_q,m_hint,-0.096258,0.005942,30
B3_l2t_no_q,m_inference_robust,0.151574,0.010837,30
B3_l2t_no_q,m_mastery,0.377331,0.005386,30
B3_l2t_no_q,m_meta,0.042619,0.014855,30
B3_l2t_no_q,m_retention_14d,-0.389508,0.007176,30
B3_l2t_no_q,m_retention_1d,-0.036875,0.004407,30
B3_l2t_no_q,m_retention_3d,-0.114229,0.004517,30
B3_l2t_no_q,m_retention_7d,-0.228971,0.005855,30
B3_l2t_no_q,m_robust,0.872566,0.018345,30
B3_l2t_no_q,m_transfer,0.766508,0.003463,30
B4_full_l2t,m_calib,0.173897,0.006403,30
B4_full_l2t,m_efficiency,0.003797,0.000056,30
B4_full_l2t,m_engage,0.838242,0.005055,30
B4_full_l2t,m_hint,-0.095459,0.006025,30
B4_full_l2t,m_inference_robust,0.242397,0.010726,30
B4_full_l2t,m_mastery,0.379689,0.005559,30
B4_full_l2t,m_meta,0.046413,0.016054,30
B4_full_l2t,m_retention_14d,-0.390092,0.005017,30
B4_full_l2t,m_retention_1d,-0.039283,0.005582,30
B4_full_l2t,m_retention_3d,-0.114633,0.005374,30
B4_full_l2t,m_retention_7d,-0.229229,0.005383,30
B4_full_l2t,m_robust,0.899396,0.053037,30
B4_full_l2t,m_transfer,0.767883,0.003265,30
