graph_seed,policy,metric,mean,n_students
1,B1_random,m_calib,0.175845,1000
1,B1_random,m_efficiency,0.003423,1000
1,B1_random,m_engage,0.852580,1000
1,B1_random,m_hint,-0.819281,1000
1,B1_random,m_inference_robust,0.220038,265
1,B1_random,m_mastery,0.342266,1000
1,B1_random,m_meta,0.028871,1000
1,B1_random,m_retention_14d,-0.386250,1000
1,B1_random,m_retention_1d,-0.042250,1000
1,B1_random,m_retention_3d,-0.113500,1000
1,B1_random,m_retention_7d,-0.228250,1000
1,B1_random,m_robust,0.500255,342
1,B1_random,m_transfer,0.765875,1000
1,B2_bkt,m_calib,0.141262,1000
1,B2_bkt,m_efficiency,0.003675,1000
1,B2_bkt,m_engage,1.000000,1000
1,B2_bkt,m_hint,0.000000,1000
1,B2_bkt,m_inference_robust,0.220183,265
1,B2_bkt,m_mastery,0.367495,1000
1,B2_bkt,m_meta,0.035125,1000
1,B2_bkt,m_retention_14d,-0.370500,1000
1,B2_bkt,m_retention_1d,-0.032500,1000
1,B2_bkt,m_retention_3d,-0.103625,1000
1,B2_bkt,m_retention_7d,-0.225375,1000
1,B2_bkt,m_transfer,0.746250,1000
1,B3_l2t_no_q,m_calib,0.150506,1000
1,B3_l2t_no_q,m_efficiency,0.003807,1000
1,B3_l2t_no_q,m_engage,0.824570,1000
1,B3_l2t_no_q,m_hint,-0.087592,1000
1,B3_l2t_no_q,m_inference_robust,0.164574,265
1,B3_l2t_no_q,m_mastery,0.380746,1000
1,B3_l2t_no_q,m_meta,0.028325,1000
1,B3_l2t_no_q,m_retention_14d,-0.386000,1000
1,B3_l2t_no_q,m_retention_1d,-0.041500,1000
1,B3_l2t_no_q,m_retention_3d,-0.113625,1000
1,B3_l2t_no_q,m_retention_7d,-0.230750,1000
1,B3_l2t_no_q,m_robust,0.898291,118
1,B3_l2t_no_q,m_transfer,0.770250,1000
1,B4_full_l2t,m_calib,0.171302,1000
1,B4_full_l2t,m_efficiency,0.003836,1000
1,B4_full_l2t,m_engage,0.834780,1000
1,B4_full_l2t,m_hint,-0.086697,1000
1,B4_full_l2t,m_inference_robust,0.252005,265
1,B4_full_l2t,m_mastery,0.383605,1000
1,B4_full_l2t,m_meta,0.031626,1000
1,B4_full_l2t,m_retention_14d,-0.381875,1000
1,B4_full_l2t,m_retention_1d,-0.043000,1000
1,B4_full_l2t,m_retention_3d,-0.116500,1000
1,B4_full_l2t,m_retention_7d,-0.223000,1000
1,B4_full_l2t,m_robust,0.848485,33
1,B4_full_l2t,m_transfer,0.768000,1000
2,B1_random,m_calib,0.173094,1000
2,B1_random,m_efficiency,0.003332,1000
2,B1_random,m_engage,0.852580,1000
2,B1_random,m_hint,-0.819281,1000
2,B1_random,m_inference_robust,0.218723,265
2,B1_random,m_mastery,0.333240,1000
2,B1_random,m_meta,0.028501,1000
2,B1_random,m_retention_14d,-0.370125,1000
2,B1_random,m_retention_1d,-0.035750,1000
2,B1_random,m_retention_3d,-0.110250,1000
2,B1_random,m_retention_7d,-0.218875,1000
2,B1_random,m_robust,0.470666,350
2,B1_random,m_transfer,0.753625,1000
2,B2_bkt,m_calib,0.129308,1000
2,B2_bkt,m_efficiency,0.003833,1000
2,B2_bkt,m_engage,1.000000,1000
2,B2_bkt,m_hint,0.000000,1000
2,B2_bkt,m_inference_robust,0.234502,265
2,B2_bkt,m_mastery,0.383324,1000
2,B2_bkt,m_meta,0.022876,1000
2,B2_bkt,m_retention_14d,-0.382000,1000
2,B2_bkt,m_retention_1d,-0.034125,1000
2,B2_bkt,m_retention_3d,-0.101125,1000
2,B2_bkt,m_retention_7d,-0.223750,1000
2,B2_bkt,m_transfer,0.751750,1000
2,B3_l2t_no_q,m_calib,0.140380,1000
2,B3_l2t_no_q,m_efficiency,0.003839,1000
2,B3_l2t_no_q,m_engage,0.819890,1000
2,B3_l2t_no_q,m_hint,-0.095852,1000
2,B3_l2t_no_q,m_inference_robust,0.164951,265
2,B3_l2t_no_q,m_mastery,0.383857,1000
2,B3_l2t_no_q,m_meta,0.018963,1000
2,B3_l2t_no_q,m_retention_14d,-0.388750,1000
2,B3_l2t_no_q,m_retention_1d,-0.031750,1000
2,B3_l2t_no_q,m_retention_3d,-0.115250,1000
2,B3_l2t_no_q,m_retention_7d,-0.225375,1000
2,B3_l2t_no_q,m_robust,0.885082,173
2,B3_l2t_no_q,m_transfer,0.766750,1000
2,B4_full_l2t,m_calib,0.165484,1000
2,B4_full_l2t,m_efficiency,0.003862,1000
2,B4_full_l2t,m_engage,0.831540,1000
2,B4_full_l2t,m_hint,-0.095016,1000
2,B4_full_l2t,m_inference_robust,0.254886,265
2,B4_full_l2t,m_mastery,0.386188,1000
2,B4_full_l2t,m_meta,0.020740,1000
2,B4_full_l2t,m_retention_14d,-0.393000,1000
2,B4_full_l2t,m_retention_1d,-0.040125,1000
2,B4_full_l2t,m_retention_3d,-0.117625,1000
2,B4_full_l2t,m_retention_7d,-0.231000,1000
2,B4_full_l2t,m_robust,0.877358,53
2,B4_full_l2t,m_transfer,0.771625,1000
3,B1_random,m_calib,0.172892,1000
3,B1_random,m_efficiency,0.003425,1000
3,B1_random,m_engage,0.852580,1000
3,B1_random,m_hint,-0.819281,1000
3,B1_random,m_inference_robust,0.210981,265
3,B1_random,m_mastery,0.342492,1000
3,B1_random,m_meta,0.041673,1000
3,B1_random,m_retention_14d,-0.386625,1000
3,B1_random,m_retention_1d,-0.037500,1000
3,B1_random,m_retention_3d,-0.114500,1000
3,B1_random,m_retention_7d,-0.227250,1000
3,B1_random,m_robust,0.480507,341
3,B1_random,m_transfer,0.762125,1000
3,B2_bkt,m_calib,0.134720,1000
3,B2_bkt,m_efficiency,0.003790,1000
3,B2_bkt,m_engage,1.000000,1000
3,B2_bkt,m_hint,0.000000,1000
3,B2_bkt,m_inference_robust,0.218414,265
3,B2_bkt,m_mastery,0.378964,1000
3,B2_bkt,m_meta,0.073884,1000
3,B2_bkt,m_retention_14d,-0.380375,1000
3,B2_bkt,m_retention_1d,-0.037375,1000
3,B2_bkt,m_retention_3d,-0.099375,1000
3,B2_bkt,m_retention_7d,-0.222500,1000
3,B2_bkt,m_transfer,0.754500,1000
3,B3_l2t_no_q,m_calib,0.146703,1000
3,B3_l2t_no_q,m_efficiency,0.003817,1000
3,B3_l2t_no_q,m_engage,0.825820,1000
3,B3_l2t_no_q,m_hint,-0.089112,1000
3,B3_l2t_no_q,m_inference_robust,0.152512,265
3,B3_l2t_no_q,m_mastery,0.381685,1000
3,B3_l2t_no_q,m_meta,0.064219,1000
3,B3_l2t_no_q,m_retention_14d,-0.403125,1000
3,B3_l2t_no_q,m_retention_1d,-0.041625,1000
3,B3_l2t_no_q,m_retention_3d,-0.114125,1000
3,B3_l2t_no_q,m_retention_7d,-0.228625,1000
3,B3_l2t_no_q,m_robust,0.885234,145
3,B3_l2t_no_q,m_transfer,0.770750,1000
3,B4_full_l2t,m_calib,0.172845,1000
3,B4_full_l2t,m_efficiency,0.003837,1000
3,B4_full_l2t,m_engage,0.836750,1000
3,B4_full_l2t,m_hint,-0.088009,1000
3,B4_full_l2t,m_inference_robust,0.248758,265
3,B4_full_l2t,m_mastery,0.383738,1000
3,B4_full_l2t,m_meta,0.068239,1000
3,B4_full_l2t,m_retention_14d,-0.390125,1000
3,B4_full_l2t,m_retention_1d,-0.043250,1000
3,B4_full_l2t,m_retention_3d,-0.106125,1000
3,B4_full_l2t,m_retention_7d,-0.227000,1000
3,B4_full_l2t,m_robust,0.896226,53
3,B4_full_l2t,m_transfer,0.767750,1000
4,B1_random,m_calib,0.181194,1000
4,B1_random,m_efficiency,0.003090,1000
4,B1_random,m_engage,0.852580,1000
4,B1_random,m_hint,-0.819281,1000
4,B1_random,m_inference_robust,0.204445,265
4,B1_random,m_mastery,0.309036,1000
4,B1_random,m_meta,0.045805,1000
